Data_ora_solare;Pressione_atmosferica;Temperatura_aria;Temperatura_acqua;Pioggia_accumulata_mm;Radiazione_solare;Umidita_perc
01/01/2021 01:00;1009.2;7.5;10.7;0;0;84
01/01/2021 02:00;1009.5;7.7;9.7;0;0;85
01/01/2021 03:00;1009.6;7.7;9.5;0;0;86
01/01/2021 04:00;1009.3;7.9;9.8;0;0;86
01/01/2021 05:00;1009.2;7.9;10.6;0;0;88
01/01/2021 06:00;1009.1;8.2;10;0;0;86
01/01/2021 07:00;1009.3;8;10.2;0;0;86
01/01/2021 08:00;1009.4;8.3;10.4;0;7;87
01/01/2021 09:00;1009.8;8.6;10.9;0;19;84
01/01/2021 10:00;1010;8.4;10.5;0;43;95
01/01/2021 11:00;1009.9;8.4;10.1;0;99;95
01/01/2021 12:00;1009.4;7.9;10;0;199;94
01/01/2021 13:00;1008.7;8.3;9.9;0;70;95
01/01/2021 14:00;1008.1;8.4;9.9;0;170;94
01/01/2021 15:00;1008;8.4;10;0;48;91
01/01/2021 16:00;1008.1;8.4;10;0.6;9;90
01/01/2021 17:00;1008.6;10;10;0.4;;92
01/01/2021 18:00;1008.4;9.7;10.1;1.4;0;85
01/01/2021 19:00;1007.8;11;10.4;0.2;0;77
01/01/2021 20:00;1007.8;11.2;10.7;0;0;76
01/01/2021 21:00;1008.4;11.4;10.9;0;0;69
01/01/2021 22:00;1008.5;10.8;11;0.2;;74
01/01/2021 23:00;1008.5;9;11.1;0;0;93
02/01/2021 00:00;1008.2;8.7;11;0.6;0;96
02/01/2021 01:00;1008.3;9.2;11;0.2;0;96
02/01/2021 02:00;1008.5;8.6;10.8;0;0;95
02/01/2021 03:00;1008.4;8.4;10.8;0;0;95
02/01/2021 04:00;1008;9;10.9;0;0;95
02/01/2021 05:00;1007.5;8.7;11.1;0;0;96
02/01/2021 06:00;1007.3;9.2;11.2;0.2;0;94
02/01/2021 07:00;1007;8.5;11.3;0.4;1;95
02/01/2021 08:00;1006.6;8.7;11.4;0;2;96
02/01/2021 09:00;1006.8;9.3;11.5;0.2;17;100
02/01/2021 10:00;1006.6;8.8;11.7;0.2;37;98
02/01/2021 11:00;1006.4;8.3;11.9;2.6;56;98
02/01/2021 12:00;1005.3;8.2;11.9;0.2;41;98
02/01/2021 13:00;1004.1;8.9;11.9;0.2;38;97
02/01/2021 14:00;1003.6;9;11.8;0.2;60;96
02/01/2021 15:00;1003.6;8.8;11.8;0;67;96
02/01/2021 16:00;1003.6;9.2;11.8;0;25;92
02/01/2021 17:00;1004;9.3;11.8;0;0;92
02/01/2021 18:00;1004.1;8.9;11.9;0;0;95
02/01/2021 19:00;1004.1;8.6;11.9;0;0;96
02/01/2021 20:00;1004.3;8.9;11.9;0;0;95
02/01/2021 21:00;1004.2;9.2;11.8;0;0;94
02/01/2021 22:00;1004.6;8.9;11.8;0;0;93
02/01/2021 23:00;1004.9;10.4;11.9;0;0;94
03/01/2021 00:00;1005;10.7;12;0;0;93
03/01/2021 01:00;1005.4;11.1;12;0;;86
03/01/2021 02:00;1005.6;10.2;11.9;0;0;89
03/01/2021 03:00;1006;10.4;11.9;0;0;89
03/01/2021 04:00;1006.1;10.8;11.9;0;0;92
03/01/2021 05:00;1006.3;9;11.9;0;0;92
03/01/2021 06:00;1006.4;10.5;12;0;0;90
03/01/2021 07:00;1006.9;9.7;12;0;0;94
03/01/2021 08:00;1007.4;9;12.1;0;6;95
03/01/2021 09:00;1007.7;9.2;12.1;0;116;95
03/01/2021 10:00;1008.3;10.3;12.1;0;244;93
03/01/2021 11:00;1008.4;9.9;12.1;0;113;92
03/01/2021 12:00;1008.1;10.2;12.2;0;139;92
03/01/2021 13:00;1007.8;10.9;12.2;0;273;87
03/01/2021 14:00;1007.9;10.6;12.2;0;86;91
03/01/2021 15:00;1008.1;10.7;12.1;0;124;89
03/01/2021 16:00;1008;10.8;12;0;29;90
03/01/2021 17:00;1008.2;10.7;11.8;0;0;89
03/01/2021 18:00;1008.5;11.1;11.8;0;0;87
03/01/2021 19:00;1008.8;11.4;11.8;0;0;72
03/01/2021 20:00;1008.9;11.5;11.8;0;0;77
03/01/2021 21:00;1008.9;11.4;11.9;0;0;75
03/01/2021 22:00;1008.9;10.8;11.9;0;0;76
03/01/2021 23:00;1008.8;10.6;12.1;0;0;71
04/01/2021 00:00;1008.7;9.1;12.1;0;0;86
04/01/2021 01:00;1008.5;8.9;12.1;0;0;92
04/01/2021 02:00;1008.5;9.5;12.1;0;0;90
04/01/2021 03:00;1008.8;8.9;12.2;0.4;1;80
04/01/2021 04:00;1008.5;9.7;12.1;1.8;0;82
04/01/2021 05:00;1008.3;9.1;12.1;0;0;86
04/01/2021 06:00;1008.4;9.2;12.2;0;0;82
04/01/2021 07:00;1008.8;9.6;12.2;0;0;77
04/01/2021 08:00;1009.1;9;12.2;0;1;81
04/01/2021 09:00;1009.4;9.3;12.3;0.2;23;79
04/01/2021 10:00;1009.6;7.9;12.3;0;50;91
04/01/2021 11:00;1009.6;7.2;12.3;0;88;92
04/01/2021 12:00;1009.2;7.5;12.3;0.8;117;90
04/01/2021 13:00;1008.7;7.8;12.3;0.2;144;91
04/01/2021 14:00;1008.3;7.4;12.3;0;114;92
04/01/2021 15:00;1008.4;7.6;12.3;0;79;93
04/01/2021 16:00;1008.6;8;12.3;0;29;93
04/01/2021 17:00;1008.6;8.4;12.4;0;0;92
04/01/2021 18:00;1008.8;8.5;12.3;0;0;91
04/01/2021 19:00;1009;9.1;12.3;0;0;85
04/01/2021 20:00;1009;8.6;12.3;0;0;89
04/01/2021 21:00;1009.2;8.5;12.3;0;0;87
04/01/2021 22:00;1009.4;8.6;12.3;0;0;86
04/01/2021 23:00;1009.2;8.6;12.3;0;0;84
05/01/2021 00:00;1009.2;8.5;12.3;0;0;84
05/01/2021 01:00;1008.8;8.5;12.3;0;;84
05/01/2021 02:00;1009.1;8;12.3;0;0;88
05/01/2021 03:00;1009.2;8.3;12.3;0;;87
05/01/2021 04:00;1009;8.3;12.3;0;0;88
05/01/2021 05:00;1008.6;7.5;12.3;0;0;93
05/01/2021 06:00;1008.4;7.8;12.3;0.8;0;94
05/01/2021 07:00;1008.6;7.9;12.3;0;0;94
05/01/2021 08:00;1008.6;8.7;12.3;0;1;94
05/01/2021 09:00;1008.8;8.5;12.3;0;33;94
05/01/2021 10:00;1008.7;9.2;12.3;0;56;92
05/01/2021 11:00;1008.2;9.3;12.3;0;79;84
05/01/2021 12:00;1007.2;8.7;12.3;0;37;86
05/01/2021 13:00;1006.7;8.2;12.3;1.2;18;89
05/01/2021 14:00;1006.4;8;12.3;2;13;89
05/01/2021 15:00;1006.3;7.8;12.3;5;7;84
05/01/2021 16:00;1005.7;8.2;12.3;3.6;6;87
05/01/2021 17:00;1005.5;8.3;12.3;0;1;87
05/01/2021 18:00;1005.4;8.8;12.2;0;0;84
05/01/2021 19:00;1005;9;12.2;0;0;81
05/01/2021 20:00;1005.1;8.3;12.2;0;0;86
05/01/2021 21:00;1005;8.2;12.2;0.2;0;90
