Piattaforma CNR;latitudine_Nord;45.323056;longitudine_Est;12.514722
data_ora_solare;valore (m);;;
01/01/2021 00:10;0.7;max;;
01/01/2021 04:00;0.48;min;;
01/01/2021 09:30;0.98;max;;
01/01/2021 17:25;-0.11;min;;
02/01/2021 00:20;0.88;max;;
02/01/2021 05:15;0.58;min;;
02/01/2021 11:00;1.04;max;;
02/01/2021 18:10;0.19;min;;
03/01/2021 00:25;0.88;max;;
03/01/2021 05:50;0.37;min;;
03/01/2021 11:45;0.82;max;;
03/01/2021 19:25;0.11;min;;
04/01/2021 01:25;0.72;max;;
04/01/2021 06:35;0.37;min;;
04/01/2021 12:20;0.74;max;;
04/01/2021 19:30;0.07;min;;
05/01/2021 03:20;0.72;max;;
05/01/2021 08:20;0.46;min;;
05/01/2021 12:55;0.73;max;;
05/01/2021 20:05;0.24;min;;
06/01/2021 03:10;0.87;max;;
06/01/2021 10:15;0.39;min;;
06/01/2021 14:00;0.47;max;;
06/01/2021 21:15;0.21;min;;
07/01/2021 03:55;0.78;max;;
07/01/2021 12:25;0.21;min;;
07/01/2021 18:15;0.38;max;;
07/01/2021 22:25;0.27;min;;
08/01/2021 05:30;0.78;max;;
08/01/2021 13:40;0.02;min;;
08/01/2021 20:00;0.42;max;;
09/01/2021 00:10;0.25;min;;
09/01/2021 06:05;0.82;max;;
09/01/2021 13:55;-0.07;min;;
09/01/2021 20:30;0.56;max;;
10/01/2021 01:05;0.3;min;;
10/01/2021 07:25;0.87;max;;
10/01/2021 15:05;-0.11;min;;
10/01/2021 19:55;0.61;max;;
11/01/2021 01:25;0.36;min;;
11/01/2021 08:30;0.85;max;;
11/01/2021 15:20;-0.18;min;;
11/01/2021 22:00;0.69;max;;
12/01/2021 03:15;0.28;min;;
12/01/2021 09:10;0.76;max;;
12/01/2021 15:50;-0.32;min;;
12/01/2021 23:25;0.7;max;;
13/01/2021 04:00;0.33;min;;
13/01/2021 09:10;0.9;max;;
13/01/2021 16:15;-0.33;min;;
13/01/2021 22:55;0.76;max;;
14/01/2021 03:45;0.37;min;;
14/01/2021 09:30;0.9;max;;
14/01/2021 16:40;-0.21;min;;
14/01/2021 23:25;0.75;max;;
15/01/2021 05:10;0.28;min;;
15/01/2021 10:30;0.78;max;;
15/01/2021 17:20;-0.2;min;;
16/01/2021 00:15;0.61;max;;
16/01/2021 05:25;0.18;min;;
16/01/2021 10:45;0.64;max;;
16/01/2021 17:30;-0.38;min;;
17/01/2021 01:40;0.57;max;;
17/01/2021 06:15;0.31;min;;
17/01/2021 11:10;0.65;max;;
17/01/2021 18:25;-0.18;min;;
18/01/2021 01:45;0.65;max;;
18/01/2021 07:30;0.29;min;;
18/01/2021 11:05;0.43;max;;
18/01/2021 18:10;-0.19;min;;
19/01/2021 02:30;;max;;
19/01/2021 08:30;;min;;
19/01/2021 12:40;0.31;max;;
19/01/2021 18:50;-0.07;min;;
20/01/2021 02:40;0.57;max;;
20/01/2021 09:15;0.16;min;;
20/01/2021 13:30;0.23;max;;
20/01/2021 18:55;0.07;min;;
21/01/2021 03:10;0.58;max;;
21/01/2021 10:45;0.16;min;;
22/01/2021 04:30;0.7;max;;
22/01/2021 13:20;0.21;min;;
22/01/2021 19:20;0.55;max;;
22/01/2021 21:25;0.49;min;;
23/01/2021 05:40;1.05;max;;
23/01/2021 14:00;0.19;min;;
24/01/2021 06:15;0.91;max;;
24/01/2021 15:40;0.07;min;;
24/01/2021 20:50;0.5;max;;
25/01/2021 01:05;0.38;min;;
25/01/2021 09:10;0.71;max;;
25/01/2021 14:15;0.26;min;;
25/01/2021 19:45;0.71;max;;
26/01/2021 03:10;0.13;min;;
26/01/2021 09:40;0.74;max;;
26/01/2021 16:00;-0.04;min;;
26/01/2021 21:40;0.47;max;;
27/01/2021 02:10;-0.01;min;;
27/01/2021 09:00;0.95;max;;
27/01/2021 15:50;-0.22;min;;
27/01/2021 21:35;0.47;max;;
28/01/2021 01:50;0.2;min;;
28/01/2021 08:15;0.94;max;;
28/01/2021 16:10;-0.24;min;;
28/01/2021 23:15;0.71;max;;
29/01/2021 03:25;0.49;min;;
29/01/2021 09:40;0.9;max;;
29/01/2021 16:20;-0.18;min;;
29/01/2021 23:25;0.94;max;;
30/01/2021 05:20;0.23;min;;
30/01/2021 10:30;0.67;max;;
30/01/2021 17:10;-0.08;min;;
30/01/2021 23:00;1.09;max;;
31/01/2021 05:25;0.38;min;;
31/01/2021 11:20;0.99;max;;
31/01/2021 18:00;0.07;min;;
01/02/2021 00:25;0.75;max;;
01/02/2021 05:30;0.35;min;;
01/02/2021 11:35;0.97;max;;
01/02/2021 18:40;0.06;min;;
02/02/2021 01:20;0.75;max;;
02/02/2021 06:30;0.38;min;;
02/02/2021 11:40;0.73;max;;
02/02/2021 18:45;-0.02;min;;
03/02/2021 01:50;0.89;max;;
03/02/2021 07:25;0.34;min;;
03/02/2021 12:10;0.54;max;;
03/02/2021 18:10;0.08;min;;
04/02/2021 02:25;0.9;max;;
04/02/2021 10:20;0.2;min;;
04/02/2021 13:45;0.26;max;;
04/02/2021 16:55;0.2;min;;
05/02/2021 02:35;0.74;max;;
05/02/2021 12:10;0.11;min;;
06/02/2021 04:05;0.66;max;;
06/02/2021 12:15;0.06;min;;
06/02/2021 20:05;0.6;max;;
07/02/2021 00:00;0.51;min;;
07/02/2021 06:40;0.87;max;;
07/02/2021 12:35;0.4;min;;
07/02/2021 20:35;0.96;max;;
08/02/2021 03:20;0.5;min;;
08/02/2021 07:40;0.92;max;;
08/02/2021 14:30;0.21;min;;
08/02/2021 21:40;0.69;max;;
09/02/2021 00:45;0.51;min;;
09/02/2021 08:30;1.16;max;;
09/02/2021 16:05;0.1;min;;
09/02/2021 21:30;0.75;max;;
10/02/2021 02:15;0.44;min;;
10/02/2021 08:35;1.27;max;;
10/02/2021 16:35;0.08;min;;
10/02/2021 23:25;0.89;max;;
11/02/2021 04:05;0.47;min;;
11/02/2021 09:25;1.08;max;;
11/02/2021 15:20;-0.14;min;;
11/02/2021 23:15;0.92;max;;
12/02/2021 04:40;0.33;min;;
12/02/2021 09:35;0.85;max;;
12/02/2021 16:40;-0.21;min;;
12/02/2021 23:10;0.84;max;;
13/02/2021 05:05;0.22;min;;
13/02/2021 10:20;0.72;max;;
13/02/2021 16:40;-0.18;min;;
13/02/2021 23:15;0.66;max;;
14/02/2021 05:25;0.02;min;;
14/02/2021 11:05;0.58;max;;
14/02/2021 17:30;-0.22;min;;
14/02/2021 23:55;0.51;max;;
15/02/2021 05:35;0;min;;
15/02/2021 11:20;0.52;max;;
15/02/2021 18:05;-0.3;min;;
16/02/2021 00:55;0.46;max;;
16/02/2021 06:20;0.05;min;;
16/02/2021 11:30;0.45;max;;
16/02/2021 17:55;-0.26;min;;
17/02/2021 01:00;0.53;max;;
17/02/2021 07:25;0.14;min;;
17/02/2021 11:45;0.33;max;;
17/02/2021 17:55;-0.13;min;;
18/02/2021 01:00;0.57;max;;
18/02/2021 08:30;0.09;min;;
18/02/2021 12:40;0.2;max;;
18/02/2021 17:45;-0.02;min;;
19/02/2021 01:30;0.55;max;;
19/02/2021 10:05;0.07;min;;
20/02/2021 01:55;0.48;max;;
20/02/2021 11:40;-0.06;min;;
21/02/2021 01:40;0.37;max;;
21/02/2021 12:20;-0.1;min;;
21/02/2021 20:50;0.34;max;;
22/02/2021 02:20;0.22;min;;
22/02/2021 05:55;0.29;max;;
22/02/2021 13:10;-0.21;min;;
22/02/2021 20:20;0.37;max;;
23/02/2021 01:55;0.1;min;;
23/02/2021 07:20;0.33;max;;
23/02/2021 14:05;-0.34;min;;
23/02/2021 20:50;0.31;max;;
24/02/2021 02:15;-0.04;min;;
24/02/2021 07:55;0.4;max;;
24/02/2021 14:50;-0.42;min;;
24/02/2021 21:20;0.41;max;;
25/02/2021 02:45;0;min;;
25/02/2021 08:25;0.51;max;;
25/02/2021 14:55;-0.47;min;;
25/02/2021 21:50;0.48;max;;
26/02/2021 03:15;-0.06;min;;
26/02/2021 08:55;0.52;max;;
26/02/2021 15:35;-0.51;min;;
26/02/2021 22:30;0.55;max;;
27/02/2021 03:45;-0.09;min;;
27/02/2021 09:35;0.53;max;;
27/02/2021 16:25;-0.5;min;;
27/02/2021 23:00;0.59;max;;
28/02/2021 04:55;-0.2;min;;
28/02/2021 10:10;0.44;max;;
28/02/2021 16:40;-0.56;min;;
28/02/2021 23:05;0.49;max;;
01/03/2021 05:00;-0.29;min;;
01/03/2021 10:55;0.37;max;;
01/03/2021 17:05;-0.51;min;;
01/03/2021 23:55;0.43;max;;
02/03/2021 05:40;-0.26;min;;
02/03/2021 11:20;0.31;max;;
02/03/2021 17:45;-0.46;min;;
03/03/2021 00:15;0.43;max;;
03/03/2021 06:25;-0.29;min;;
03/03/2021 11:45;0.16;max;;
03/03/2021 17:35;-0.33;min;;
04/03/2021 00:50;0.45;max;;
04/03/2021 07:30;-0.22;min;;
04/03/2021 13:25;0.08;max;;
04/03/2021 17:40;-0.09;min;;
05/03/2021 01:00;0.47;max;;
05/03/2021 08:30;-0.2;min;;
06/03/2021 00:55;0.5;max;;
06/03/2021 10:40;-0.27;min;;
06/03/2021 19:35;0.15;max;;
06/03/2021 23:05;0.08;min;;
07/03/2021 03:15;0.18;max;;
07/03/2021 12:05;-0.21;min;;
07/03/2021 19:45;0.19;max;;
08/03/2021 01:00;0.09;min;;
08/03/2021 05:45;0.25;max;;
08/03/2021 13:40;-0.24;min;;
08/03/2021 20:45;0.27;max;;
09/03/2021 02:40;0.04;min;;
09/03/2021 08:05;0.39;max;;
09/03/2021 14:15;-0.29;min;;
09/03/2021 21:00;0.45;max;;
10/03/2021 02:30;-0.01;min;;
10/03/2021 07:50;0.44;max;;
10/03/2021 14:55;-0.37;min;;
10/03/2021 21:20;0.43;max;;
11/03/2021 02:30;-0.03;min;;
11/03/2021 08:40;0.56;max;;
11/03/2021 15:05;-0.35;min;;
11/03/2021 21:55;0.61;max;;
12/03/2021 03:05;0.09;min;;
12/03/2021 08:35;0.64;max;;
12/03/2021 15:25;-0.25;min;;
12/03/2021 22:20;0.76;max;;
13/03/2021 04:30;-0.05;min;;
13/03/2021 09:20;0.48;max;;
13/03/2021 15:15;-0.28;min;;
13/03/2021 22:05;0.85;max;;
14/03/2021 04:50;-0.05;min;;
14/03/2021 10:15;0.55;max;;
14/03/2021 16:30;-0.28;min;;
14/03/2021 22:50;0.7;max;;
15/03/2021 05:10;-0.47;min;;
15/03/2021 11:05;0.5;max;;
15/03/2021 16:20;-0.09;min;;
15/03/2021 22:10;0.64;max;;
16/03/2021 04:35;-0.25;min;;
16/03/2021 11:20;0.51;max;;
16/03/2021 16:55;-0.06;min;;
16/03/2021 22:50;0.46;max;;
17/03/2021 05:05;-0.13;min;;
17/03/2021 11:20;0.43;max;;
17/03/2021 17:15;-0.06;min;;
17/03/2021 23:55;0.43;max;;
18/03/2021 06:25;-0.05;min;;
18/03/2021 12:10;0.38;max;;
18/03/2021 18:00;-0.02;min;;
19/03/2021 00:30;0.51;max;;
19/03/2021 07:00;-0.05;min;;
19/03/2021 12:40;0.29;max;;
19/03/2021 17:35;0.03;min;;
20/03/2021 00:00;0.49;max;;
20/03/2021 07:20;-0.05;min;;
20/03/2021 13:15;0.2;max;;
20/03/2021 16:40;0.12;min;;
21/03/2021 00:05;0.41;max;;
21/03/2021 09:05;-0.01;min;;
22/03/2021 01:20;0.33;max;;
22/03/2021 12:00;0.01;min;;
22/03/2021 21:45;0.35;max;;
23/03/2021 02:45;0.23;min;;
23/03/2021 06:10;0.29;max;;
23/03/2021 13:55;-0.26;min;;
23/03/2021 21:00;0.4;max;;
24/03/2021 01:10;0.23;min;;
24/03/2021 06:40;0.4;max;;
24/03/2021 13:20;-0.37;min;;
24/03/2021 20:30;0.5;max;;
25/03/2021 02:00;0.17;min;;
25/03/2021 07:15;0.45;max;;
25/03/2021 13:40;-0.34;min;;
25/03/2021 20:45;0.65;max;;
26/03/2021 02:40;0.07;min;;
26/03/2021 08:05;0.45;max;;
26/03/2021 14:35;-0.31;min;;
26/03/2021 21:00;0.74;max;;
27/03/2021 03:25;-0.07;min;;
27/03/2021 08:55;0.51;max;;
27/03/2021 14:50;-0.29;min;;
27/03/2021 21:25;0.74;max;;
