Piattaforma ;latitudine_Nord;45.323.056;longitudine_Est;12.514.722
Data_ora_solare;Livello_(m);Direzione_vento_(GN);Velocita_vento_(m/s);Velocita_raffica_(m/s)
01/01/2021 01:00;0.67;6;3.3;3.7
01/01/2021 02:00;0.6;21;3;3.2
01/01/2021 03:00;0.52;31;2.8;3.2
01/01/2021 04:00;0.48;61;3.4;3.7
01/01/2021 05:00;0.53;64;4;5.1
01/01/2021 06:00;0.61;140;1.7;2.4
01/01/2021 07:00;0.72;171;0.7;0.9
01/01/2021 08:00;0.87;20;1.6;2.1
01/01/2021 09:00;0.96;40;3.7;4.6
01/01/2021 10:00;0.97;40;6.2;6.7
01/01/2021 11:00;0.92;27;6.5;7.6
01/01/2021 12:00;0.79;21;7.5;8.3
01/01/2021 13:00;0.59;29;9.2;9.8
01/01/2021 14:00;0.35;29;10.2;11.4
01/01/2021 15:00;0.12;35;11.5;13.1
01/01/2021 16:00;-0.01;41;9.8;10.3
01/01/2021 17:00;-0.08;67;7.3;8.6
01/01/2021 18:00;-0.09;131;6.5;7.8
01/01/2021 19:00;0.07;134;9;10.9
01/01/2021 20:00;0.23;123;6.6;6.8
01/01/2021 21:00;0.45;164;7.5;9.8
01/01/2021 22:00;0.64;170;3.5;3.6
01/01/2021 23:00;0.77;40;8.2;9.6
02/01/2021 00:00;0.86;41;9.8;11.1
02/01/2021 01:00;0.86;29;11;12.8
02/01/2021 02:00;0.79;33;12.1;13
02/01/2021 03:00;0.71;22;9.4;11.6
02/01/2021 04:00;0.63;28;10.5;11.8
02/01/2021 05:00;0.6;31;11;12.1
02/01/2021 06:00;0.62;24;10.1;11.2
02/01/2021 07:00;0.66;19;10.9;12.3
02/01/2021 08:00;0.75;27;12.3;13.8
02/01/2021 09:00;0.86;32;12.6;13.8
02/01/2021 10:00;0.99;22;11.8;13.3
02/01/2021 11:00;1.04;21;14;17.5
02/01/2021 12:00;0.96;20;15;16.3
02/01/2021 13:00;0.85;21;13.5;15.9
02/01/2021 14:00;0.73;20;12;13.3
02/01/2021 15:00;0.54;24;14;15
02/01/2021 16:00;0.41;23;13.9;15.5
02/01/2021 17:00;0.28;31;15.8;16.9
02/01/2021 18:00;0.2;24;12.4;14
02/01/2021 19:00;0.25;29;14.3;16.2
02/01/2021 20:00;0.34;26;13.4;15.2
02/01/2021 21:00;0.5;33;13.6;14.7
02/01/2021 22:00;0.65;34;12.4;13.3
02/01/2021 23:00;0.77;49;7.4;8.5
03/01/2021 00:00;0.86;44;3.8;5.4
03/01/2021 01:00;0.85;39;6.7;8.9
03/01/2021 02:00;0.78;42;8;8.7
03/01/2021 03:00;0.67;45;6.9;7.8
03/01/2021 04:00;0.55;49;5.9;6.4
03/01/2021 05:00;0.42;25;5.6;7.1
03/01/2021 06:00;0.39;37;3.8;4.6
03/01/2021 07:00;0.4;30;4.7;5.4
03/01/2021 08:00;0.47;28;5.6;6.2
03/01/2021 09:00;0.58;33;6.2;6.9
03/01/2021 10:00;0.69;38;3.2;3.9
03/01/2021 11:00;0.79;32;5;5.4
03/01/2021 12:00;0.8;36;4.2;4.6
03/01/2021 13:00;0.78;33;3;3.2
03/01/2021 14:00;0.68;20;2.3;2.9
03/01/2021 15:00;0.5;20;3.4;4.6
03/01/2021 16:00;0.36;12;4.1;5
03/01/2021 17:00;0.23;41;5;5.3
03/01/2021 18:00;0.14;43;5.6;6.1
03/01/2021 19:00;0.12;87;5.2;6
03/01/2021 20:00;0.14;104;5.3;5.6
03/01/2021 21:00;0.26;69;3.6;4.3
03/01/2021 22:00;0.38;134;2.9;4
03/01/2021 23:00;0.52;108;5.8;7.6
04/01/2021 00:00;0.64;17;6.2;7.4
04/01/2021 01:00;0.71;29;7.4;8.5
04/01/2021 02:00;0.71;34;7.2;7.8
04/01/2021 03:00;0.64;70;2.1;2.5
04/01/2021 04:00;0.56;41;5.3;5.4
04/01/2021 05:00;0.46;44;8.4;9
04/01/2021 06:00;0.37;57;6.5;7.2
04/01/2021 07:00;0.38;76;4.7;5.5
04/01/2021 08:00;0.45;66;4.4;4.9
04/01/2021 09:00;0.5;54;3.1;3.6
04/01/2021 10:00;0.63;14;6.3;7.5
04/01/2021 11:00;0.71;1;6.8;7.7
04/01/2021 12:00;0.72;352;3.9;5.3
04/01/2021 13:00;0.72;335;2.2;3
04/01/2021 14:00;0.65;348;3.5;5.6
04/01/2021 15:00;0.54;1;4.9;6
04/01/2021 16:00;0.4;24;3.2;3.9
